num_rows;id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
0;2737;Elif's room in cozy, clean flat.;3047;Elif;VIII Appia Antica;Private room;28;7.0;7;28/05/2015;0.08;5.0;363.0;0
1;2903;Stay a night in Calisto6 B&B Rome;3280;Andrea;I Centro Storico;Private room;66;1.0;55;31/10/2017;0.35;3.0;243.0;0
2;3079;Cozy apartment  (2-4)with Colisseum  view;3504;Laura;I Centro Storico;Entire home/apt;90;5.0;19;11/09/2021;0.14;7.0;350.0;2
3;12398;Casa Donatello - Home far from Home;11756;Gea;II Parioli/Nomentano;Entire home/apt;63;1.0;43;25/08/2021;0.32;2.0;209.0;3
4;16276;B&B Calisto6 great location in Rome;3280;Andrea;I Centro Storico;Private room;66;1.0;6;18/06/2015;0.04;3.0;358.0;0
5;19967;A 5 MIN A PIEDI P.ZZA S.PIETRO  2 CAMERE SPAZIOSO;75450;Sasa;I Centro Storico;Entire home/apt;68;3.0;32;08/08/2021;0.32;10.0;252.0;1
6;20534;DormiRoma - Cedro 1 Apartment - Trastevere;77540;Sabrina;I Centro Storico;Entire home/apt;90;3.0;45;11/09/2019;0.33;5.0;278.0;0
7;20587;DormiRoma - Cedro 4 Apartment - Trastevere;77540;Sabrina;I Centro Storico;Entire home/apt;140;3.0;59;20/09/2021;0.43;5.0;269.0;1
8;20606;Your own home in St. Peter, Rome;77932;Giovanna;XIII Aurelia;Entire home/apt;146;2.0;71;20/08/2021;0.52;3.0;199.0;1
9;20699;Vintage Suite w/ Private Bath & AC;78287;Frank & Soledad;I Centro Storico;Private room;58;1.0;413;19/11/2021;3.01;8.0;348.0;23
10;21193;BLUE DOUBLE ROOM WITH TERRACE;80755;Marianna;I Centro Storico;Private room;70;2.0;14;12/11/2019;0.10;4.0;361.0;0
11;21249;B&B 830, 10 min. from everything! - ROME;81015;Emanuele;VII San Giovanni/Cinecittà;Private room;45;3.0;107;23/10/2019;0.76;10.0;252.0;0
12;21811;PRETTY FLAT IN TRASTEVERE;5232802;Coan;I Centro Storico;Entire home/apt;55;3.0;195;22/11/2021;1.40;16.0;270.0;4
13;22335;4  Apartments in Navona square (unit 1);85707;Elena;I Centro Storico;Entire home/apt;34;1.0;143;05/11/2021;2.03;4.0;324.0;32
14;22395;VERY COOL FLAT IN ST. PETER;5232802;Coan;I Centro Storico;Entire home/apt;89;3.0;32;19/11/2021;0.25;16.0;259.0;7
15;22573;Splendido loft con pezzi di design nel cuore del Pigneto;86882;Francesco;V Prenestino/Centocelle;Entire home/apt;70;28.0;101;20/01/2021;0.72;1.0;1.0;1
16;22930;DormiRoma - Cedro 3 Apartment - Trastevere;77540;Sabrina;I Centro Storico;Entire home/apt;95;3.0;64;18/02/2020;0.46;5.0;296.0;0
17;23803;Charming flat in Trastevere;5232802;Coan;I Centro Storico;Entire home/apt;79;3.0;235;07/11/2021;1.77;16.0;272.0;11
18;24557;Mini apartment with garden & wifi;86053;Els;XIV Monte Mario;Entire home/apt;73;2.0;326;01/11/2021;2.30;1.0;361.0;2
19;25875;Your holiday next to St. Peter;77932;Giovanna;XIII Aurelia;Entire home/apt;529;4.0;34;02/01/2019;0.25;3.0;0.0;0
20;26957;Calisto6 B&B in the heart of Rome;3280;Andrea;I Centro Storico;Private room;66;1.0;15;17/10/2021;0.11;3.0;360.0;3
21;27816;*Rome CAMPO de FIORI Lovely Romantic Studio*;119186;Primarosa M.Rita;I Centro Storico;Entire home/apt;68;2.0;135;08/01/2020;1.04;3.0;7.0;0
22;29606;YOUR HOME in ROME, 2 steps from TRASTEVERE;127506;Pino;XII Monte Verde;Entire home/apt;81;3.0;143;23/08/2021;1.10;1.0;361.0;5
23;29902;Villa Lauretana for families/friend;128832;Loredana;IX Eur;Entire home/apt;90;4.0;12;12/08/2021;0.14;1.0;283.0;1
24;30887;Monti small flat nearby Colosseum private bathroom;132622;Mirela & Marco;I Centro Storico;Entire home/apt;72;3.0;51;01/11/2021;0.64;3.0;365.0;1
25;31058;WellnessInnRome Shortlet 2 people;133372;Emanuela;I Centro Storico;Private room;52;2.0;70;09/10/2021;0.51;5.0;208.0;5
26;31430;IRIS - 12 MIN TO COLOSSEO BY METRO;135012;Angiola;II Parioli/Nomentano;Private room;40;2.0;369;28/02/2020;2.67;3.0;0.0;0
27;31464;Warm Apartment with a Hi-Fi Stereo and Quaint Balcony;135112;Mario;IV Tiburtina;Private room;106;2.0;391;21/02/2020;2.94;1.0;6.0;0
28;36223;da nonna maria b&b near center;155546;Micaela;II Parioli/Nomentano;Private room;45;2.0;36;03/10/2021;0.27;2.0;361.0;1
29;37054;Anna Home at Roman Forum;160020;Lorenzo;I Centro Storico;Entire home/apt;65;2.0;514;06/12/2021;3.76;8.0;259.0;21
30;37305;Casa Pariolina - Suite The Romantic;161114;Carla;II Parioli/Nomentano;Private room;94;1.0;21;06/11/2021;0.24;3.0;358.0;1
31;37307;Casa Pariolina-Suite Villa Borghese;161114;Carla;II Parioli/Nomentano;Entire home/apt;90;1.0;32;16/11/2021;0.23;3.0;351.0;7
32;42829;*COLOSEUM Front* Opera Theater Apt*;119186;Primarosa M.Rita;I Centro Storico;Entire home/apt;65;3.0;36;20/10/2021;0.32;3.0;334.0;1
33;43912;Beautiful countryside villa - Rome;192075;Rita;XV Cassia/Flaminia;Entire home/apt;95;3.0;8;18/08/2021;0.06;1.0;364.0;3
34;44442;In the very heart of Old Rome;195040;Hanen;I Centro Storico;Entire home/apt;120;4.0;248;18/10/2021;1.84;3.0;1.0;1
35;46669;Sotto il cielo di Roma B&B (Sole);205102;Antonio;VIII Appia Antica;Private room;60;1.0;2;16/05/2019;0.05;2.0;363.0;0
36;47149;A due passi da San Pietro da Simona;212374;Simona;XII Monte Verde;Private room;82;3.0;147;10/04/2019;1.15;2.0;311.0;0
37;47213;Sotto il cielo di Roma B&B (Luna);205102;Antonio;VIII Appia Antica;Private room;60;1.0;5;02/12/2021;0.05;2.0;364.0;1
38;48807;The House of Colors !!!;147227;Irene;V Prenestino/Centocelle;Entire home/apt;53;2.0;166;28/11/2021;1.22;1.0;259.0;8
39;49206;A Due Passi Da Trastevere;212374;Simona;XII Monte Verde;Private room;45;2.0;220;02/01/2020;1.77;2.0;311.0;0
40;49240;PANTHEON CHARMING ACCOMODATION;224479;Ermanno;I Centro Storico;Entire home/apt;95;2.0;29;22/08/2021;0.21;3.0;177.0;6
41;50333;Bright&Cosy Penthouse Overlooking St. Peter's Dome;230736;Sita Alessandra;I Centro Storico;Entire home/apt;110;3.0;94;14/10/2021;0.78;3.0;139.0;7
42;50385;Tiny but Special Studio apartment!;231096;Laura;V Prenestino/Centocelle;Entire home/apt;42;1.0;98;21/08/2021;0.74;2.0;313.0;1
43;50471;Cozy bright Loft in Trastevere;231637;Lavinia;XII Monte Verde;Entire home/apt;928;1.0;286;15/11/2021;2.71;1.0;141.0;22
45;52805;CasaMastro;244775;Francesco;I Centro Storico;Entire home/apt;102;2.0;156;06/11/2021;1.15;2.0;336.0;6
46;53203;Sanniti apartment, San Lorenzo stylish top floor;247495;Gabriele;II Parioli/Nomentano;Entire home/apt;80;3.0;95;30/11/2019;0.70;1.0;184.0;0
47;53322;Roma Campo de fiori Studio Gio;248295;Tom;I Centro Storico;Entire home/apt;135;3.0;156;30/10/2021;1.19;11.0;172.0;14
48;53325;Roma STUDIO BLU- CAMPO DE FIORI;248295;Tom;I Centro Storico;Entire home/apt;69;3.0;169;15/11/2021;1.36;11.0;172.0;14
49;53670;Cozy and quiet  flat  few blocks bytheColisseum;3504;Laura;I Centro Storico;Entire home/apt;70;4.0;39;01/11/2021;0.29;7.0;329.0;3
50;53844;Gorgeous studio Monti area 4 blocks bytheColisseum;3504;Laura;I Centro Storico;Entire home/apt;100;2.0;41;06/01/2020;0.31;7.0;342.0;0
51;54991;la Casetta di Tiziana near the imperial Rome;259007;Tiziana;VII San Giovanni/Cinecittà;Entire home/apt;48;2.0;206;15/10/2021;1.58;1.0;276.0;1
52;55710;Luxury and Elegant Apartment near St. Peter;263254;Andrea E Carlotta;XIII Aurelia;Entire home/apt;130;2.0;410;02/12/2021;3.18;4.0;199.0;13
53;55834;VIOLET wellnessinnrome;133372;Emanuela;I Centro Storico;Private room;77;3.0;2;03/11/2021;0.02;5.0;217.0;1
54;56795;ForMyFriends B&B 1 - Rome, Vatican;269706;Matilde;I Centro Storico;Private room;120;2.0;7;10/09/2018;0.06;3.0;355.0;0
55;56801;ForMyFriends B&B 2 - Rome, Vatican;269706;Matilde;I Centro Storico;Private room;122;2.0;11;06/06/2016;0.09;3.0;169.0;0
57;57982;Romantic getaway in Campo dei Fiori;276063;Guglielmo;I Centro Storico;Entire home/apt;79;5.0;44;26/02/2020;0.36;21.0;37.0;0
58;57996;A week in Rome? Rent my home!;277019;Lis Mari;XII Monte Verde;Entire home/apt;40;4.0;185;25/09/2019;1.39;1.0;250.0;0
59;58137;LOGGETTA DI TRASTEVERE B&B  Livia;276894;Francesco;I Centro Storico;Private room;100;2.0;1;17/09/2012;0.01;10.0;283.0;0
60;58273;Loggetta di Trastevere apartment;276894;Francesco;I Centro Storico;Entire home/apt;98;2.0;275;06/08/2021;2.96;10.0;180.0;4
61;58343;LOGGETTA DI TRASTEVERE B&B  Augusta;276894;Francesco;I Centro Storico;Private room;110;1.0;10;08/06/2015;0.08;10.0;311.0;0
62;59749;WellnessInnRome ShortLet 11people;133372;Emanuela;I Centro Storico;Entire home/apt;320;3.0;81;21/11/2021;0.61;5.0;327.0;4
63;60300;Enjoy apartment luxury in Rome;290437;Guido;I Centro Storico;Entire home/apt;565;2.0;116;05/12/2021;1.64;1.0;254.0;7
64;63092;LA CASA DEI GERANI, for up to 5+BABY!! AIRCON,WIFI;307669;Arabella;II Parioli/Nomentano;Entire home/apt;114;3.0;6;16/07/2019;0.06;1.0;136.0;0
65;64683;Attic Sannio with terrace;316068;Federico;VII San Giovanni/Cinecittà;Entire home/apt;49;3.0;170;09/01/2021;1.32;42.0;314.0;3
66;65104;Central 3bdr apt , A/C, WIFI;318301;Andrea;VII San Giovanni/Cinecittà;Entire home/apt;99;3.0;308;26/02/2020;2.43;3.0;0.0;0
67;65658;PONTE TESTACCIO LOFT;321012;Massimo;XII Monte Verde;Entire home/apt;70;2.0;2;05/09/2012;0.02;1.0;307.0;0
70;68731;Colisseum bright studio in Monti neighborhood;3504;Laura;I Centro Storico;Entire home/apt;80;4.0;20;08/10/2021;0.16;7.0;267.0;1
71;69146;Rome Apartment beautiful ..;345563;Giandomenico;VII San Giovanni/Cinecittà;Entire home/apt;90;2.0;71;24/09/2018;0.55;1.0;364.0;0
72;70006;50% off in may: Sole & Luna suites;353186;Sole E Luna;I Centro Storico;Entire home/apt;83;1.0;5;26/12/2019;0.04;4.0;236.0;0
73;70477;Cozy Terrace by Vatican Muesums;355604;Alessandro & Silvia;I Centro Storico;Entire home/apt;70;3.0;129;05/10/2020;1.00;3.0;184.0;0
74;70621;Apartment Rome's historic center Spanish Step;358775;Antonino;I Centro Storico;Entire home/apt;98;1.0;210;05/11/2021;1.82;2.0;311.0;5
75;71341;Vatican Tradition and Design;364763;Annabella;XIV Monte Mario;Entire home/apt;45;2.0;22;30/03/2021;0.17;1.0;352.0;1
76;72073;Medieval borgo in the heart of Rome;276063;Guglielmo;I Centro Storico;Entire home/apt;139;5.0;1;02/05/2012;0.01;21.0;71.0;0
77;72848;Double room;353186;Sole E Luna;I Centro Storico;Private room;80;1.0;3;04/07/2016;0.03;4.0;365.0;0
79;77549;Flat for up to 7 people in the heart of Rome!;409283;Denise;I Centro Storico;Entire home/apt;150;3.0;20;01/05/2018;0.22;1.0;161.0;0
80;77831;Bonheur Monti;417964;Nathalie;I Centro Storico;Entire home/apt;100;3.0;271;07/09/2021;2.08;1.0;137.0;9
81;78314;DIAMOND1 Apartment in Rome near the subway;382155;Michele;VII San Giovanni/Cinecittà;Entire home/apt;90;3.0;18;31/10/2021;0.16;11.0;309.0;1
82;78697;COLOSSEUM Ciao Bella Apartment;422925;Floriana;I Centro Storico;Entire home/apt;95;4.0;109;27/02/2020;0.91;1.0;272.0;0
83;79393;Rome,  (Monteverde) 1  single room;427418;Alessandra;XII Monte Verde;Private room;43;1.0;4;31/10/2021;0.04;1.0;365.0;1
84;80280;Cappellari 2 Campo dei Fiori;316068;Federico;I Centro Storico;Entire home/apt;65;3.0;92;15/02/2021;0.82;42.0;273.0;2
85;80292;Cappellari 3 Campo dei Fiori;316068;Federico;I Centro Storico;Entire home/apt;68;3.0;140;30/06/2020;1.10;42.0;308.0;0
86;80612;Apartment Gli Archi 4 beds WIFI AC;435920;Pina;VII San Giovanni/Cinecittà;Entire home/apt;45;3.0;347;28/09/2021;2.68;3.0;349.0;6
87;81807;DOUBLEROOM WITH PRIVATE BATHROOM;444360;Mary;VII San Giovanni/Cinecittà;Private room;25;1.0;31;15/08/2021;0.24;1.0;68.0;1
88;83569;Budget Room Trastevere Stn.1  WiFi;455761;Gianmaria;XII Monte Verde;Private room;20;4.0;30;17/08/2018;0.34;1.0;0.0;0
90;85272;B&B ZenTrastevere, New Red Room;149694;B&B Zen Trastevere;I Centro Storico;Private room;65;4.0;69;31/07/2021;0.53;2.0;353.0;1
91;85612;B&B Zen Trastevere, New light blue Room;149694;B&B Zen Trastevere;I Centro Storico;Private room;65;4.0;27;12/10/2016;0.21;2.0;353.0;0
92;85857;Aenea's B&B in the heart of Rome;470889;Federica;I Centro Storico;Hotel room;47;2.0;63;07/12/2021;0.50;6.0;357.0;6
93;86187;Elegante Appartamento di Design Accanto al Vaticano;263254;Andrea E Carlotta;XIII Aurelia;Entire home/apt;75;2.0;336;07/12/2021;2.65;4.0;312.0;10
94;86649;2 passi da...è il Bed and Breakfast;475065;Renato;XV Cassia/Flaminia;Hotel room;50;2.0;2;13/06/2021;0.05;3.0;349.0;1
95;86932;TERRAZZA SAN PIETRO BEST IN ROME;476671;Angelo;I Centro Storico;Entire home/apt;70;2.0;3;19/09/2021;0.05;6.0;277.0;1
97;88428;Space home near Piazza Navona;380607;Laura;I Centro Storico;Entire home/apt;979;2.0;219;04/07/2020;1.69;2.0;274.0;0
98;88611;Cosy and quite room to enjoy Roma;484081;Stefania;II Parioli/Nomentano;Private room;38;2.0;42;30/10/2019;0.33;1.0;34.0;0
99;88982;Casa Rubino,near the Coliseum;485491;Irina;VII San Giovanni/Cinecittà;Entire home/apt;100;2.0;13;31/12/2019;0.12;1.0;345.0;0
100;90666;WikiRome Vatican 1to4 people Wi-Fi 200MBit;491169;WikiRome;I Centro Storico;Entire home/apt;79;2.0;206;30/11/2021;1.59;1.0;341.0;4
101;90971;Rome best location!!!(ghetto)garden;486866;Raffaella;I Centro Storico;Entire home/apt;50;3.0;103;28/11/2021;0.85;4.0;296.0;5
102;91029;Rome Villa Borghese B&B n.2;492474;Filippo;II Parioli/Nomentano;Private room;40;3.0;13;26/11/2021;0.10;2.0;341.0;7
103;91713;World Wide Bed Prenestino. Easy room ensuite;229246;Gigi;V Prenestino/Centocelle;Private room;32;2.0;49;11/07/2018;0.42;1.0;343.0;0
104;93976;Studio Gio 2 in campo dei fiori Center of Rome;248295;Tom;I Centro Storico;Entire home/apt;107;3.0;110;24/11/2021;0.86;11.0;173.0;15
105;94106;The Vatican Flat - Chic w/Jacuzzi;503401;Armando;I Centro Storico;Entire home/apt;49;2.0;117;15/11/2021;0.91;1.0;161.0;16
106;95009;Re di Roma Apartment 1/4 adult;506316;Andrea;VII San Giovanni/Cinecittà;Entire home/apt;50;3.0;13;23/09/2019;0.11;4.0;252.0;0
107;95415;Trevi palazzo storico suite B&B;508116;Emanuele Mercuzio;I Centro Storico;Private room;58;1.0;525;14/11/2021;4.06;3.0;331.0;13
108;95463;Bed&Breakfast Gallery  Double Room;508291;Michele;I Centro Storico;Private room;58;1.0;3;01/11/2021;0.03;1.0;363.0;2
109;96351;Il delizioso attico immerso nella Città Eterna.;511552;Fiammetta Maria;I Centro Storico;Entire home/apt;160;3.0;137;20/10/2021;1.07;1.0;290.0;3
110;97093;A few steps from St. Peter;77932;Giovanna;XIII Aurelia;Entire home/apt;146;2.0;94;22/02/2020;0.74;3.0;195.0;0
111;102350;Julia's Cottage;533391;Giulia;VI Roma delle Torri;Entire home/apt;59;3.0;32;08/09/2019;0.50;1.0;242.0;0
112;102672;ARIA DI MARE  A 20 KM DA ROMA;536398;Antonella;X Ostia/Acilia;Entire home/apt;100;3.0;6;23/06/2019;0.14;3.0;365.0;0
113;103190;Anni50 B&B - Double Rooms;537257;Alessandro Lorenzo Katia;II Parioli/Nomentano;Private room;82;3.0;13;02/01/2019;0.10;3.0;304.0;0
114;103245;Trastevere - Manara House;538724;Carla;I Centro Storico;Entire home/apt;80;2.0;278;29/11/2021;2.16;1.0;202.0;9
115;103870;CASACHICA Your holiday home in Rome;535822;Fabrizio;I Centro Storico;Entire home/apt;34;3.0;195;22/08/2020;1.53;1.0;242.0;0
116;104339;Colorful apartment close MetroB;543054;Giuseppe;VIII Appia Antica;Entire home/apt;80;2.0;7;02/12/2017;0.05;3.0;0.0;0
117;105081;A Modern flat near Trastevere;1033076;Rca Immobiliare;XII Monte Verde;Entire home/apt;80;4.0;3;01/07/2012;0.03;6.0;81.0;0
118;107569;B&B DOLCE VIRGINIA-J.Suite Orchidea;557098;Flora;VII San Giovanni/Cinecittà;Private room;72;2.0;4;03/06/2018;0.05;3.0;347.0;0
119;108035;Sweet Rome in a typical district.;559233;Franco;V Prenestino/Centocelle;Entire home/apt;70;2.0;40;06/10/2021;0.38;1.0;353.0;4
120;108039;Sweet terrace by Vatican Musuem New wifi 100Mbs!;355604;Alessandro & Silvia;I Centro Storico;Entire home/apt;65;3.0;128;09/06/2021;1.45;3.0;5.0;8
121;110515;Appartamento con 3 camere e 3 bagni;82468112;Livia;II Parioli/Nomentano;Entire home/apt;115;3.0;148;21/11/2021;1.24;3.0;277.0;6
123;113590;SMALL STUDIO FLAT Btw Termini & Colosseum!;577650;Antonella;I Centro Storico;Entire home/apt;30;2.0;575;08/12/2021;4.49;1.0;112.0;40
124;116291;Charming room AL Cupolone Guest House ★;190140;Valter;I Centro Storico;Private room;129;1.0;38;24/03/2019;0.31;3.0;179.0;0
125;116616;CHEAP & CHIC WHITE APT @COLISEUM – ALL INCLUDED!;158699136;Flavio & Emiliano;I Centro Storico;Entire home/apt;89;3.0;197;16/02/2020;1.54;10.0;41.0;0
126;117532;Spaciouse Apartment in the heart of Rome;82468112;Livia;II Parioli/Nomentano;Entire home/apt;85;3.0;51;31/10/2021;0.43;3.0;337.0;12
128;118803;Feel at home in Rome;599863;Viviana;II Parioli/Nomentano;Entire home/apt;44;7.0;130;03/11/2021;1.05;1.0;129.0;3
129;124148;Peaceful room w private badroom Boccea/Casalotti;619502;Barbara;XIII Aurelia;Private room;26;30.0;1;04/09/2017;0.02;1.0;324.0;0
130;124269;S.cosimato trastevere 2 bedrooms;619855;Ilaria;I Centro Storico;Entire home/apt;122;2.0;162;04/11/2021;1.34;1.0;349.0;4
131;125484;Exclusive Terrace Piazza Argentina;316068;Federico;I Centro Storico;Entire home/apt;83;3.0;227;23/11/2021;1.82;42.0;323.0;32
132;125597;Cozy Vatican Apartment in Prati for 3-6 !  wi-fi;624253;Giusy;I Centro Storico;Entire home/apt;140;2.0;204;28/11/2021;1.66;1.0;255.0;6
133;131221;Saint Peter - Room in apartment;645702;Cristina;I Centro Storico;Private room;65;3.0;122;01/11/2021;1.01;1.0;357.0;4
135;135307;Casa Vacanze Marzia;663406;Marzia;VIII Appia Antica;Entire home/apt;59;2.0;56;27/11/2021;0.59;1.0;328.0;3
136;137044;In Campo de 'Fiori! For families and friends in the historic center.;670337;Massimiliano;I Centro Storico;Entire home/apt;110;3.0;88;21/11/2021;0.88;1.0;337.0;9
137;137157;Super balcony in center on Romans roofs;486866;Raffaella;I Centro Storico;Entire home/apt;105;3.0;6;20/06/2016;0.05;4.0;351.0;0
138;137713;60sqm apt Campo de' Fiori with Wifi;246365;Carla;I Centro Storico;Entire home/apt;85;3.0;104;11/11/2021;0.82;2.0;272.0;11
139;137724;Studio in Campo de' Fiori with Wifi;246365;Carla;I Centro Storico;Entire home/apt;48;2.0;162;21/10/2021;1.28;2.0;179.0;7
140;138192;Rome Termini station double room;674843;Daniele;I Centro Storico;Private room;53;1.0;81;16/09/2021;0.70;5.0;352.0;1
141;138279;cosy studio flat;675201;Rosa Alba;V Prenestino/Centocelle;Entire home/apt;36;6.0;203;16/02/2020;1.73;3.0;60.0;0
142;139330;In the hearth of Rome (PIGNETO);679555;Mario;V Prenestino/Centocelle;Hotel room;51;2.0;14;05/03/2020;0.23;1.0;79.0;0
143;140023;B&B  NIK and BENNY;682426;Simona;XV Cassia/Flaminia;Private room;50;2.0;11;31/05/2018;0.12;1.0;0.0;0
144;140801;Rome Studio Rental, Colosseum;685600;Juan Carlos;I Centro Storico;Entire home/apt;70;3.0;161;26/10/2021;1.30;1.0;318.0;8
145;141614;Room with private bathroom - Colosseum 10min away;674843;Daniele;I Centro Storico;Private room;63;1.0;18;19/09/2021;0.19;5.0;362.0;2
146;141634;Bright room (up to 4 people) - Rome Colosseum;674843;Daniele;I Centro Storico;Private room;63;1.0;55;28/10/2019;0.48;5.0;358.0;0
147;142483;Termini station single room;674843;Daniele;I Centro Storico;Private room;43;1.0;125;13/09/2021;0.98;5.0;365.0;1
148;147043;Entire apartment  on the Park-;643583;Gianni;XII Monte Verde;Entire home/apt;80;3.0;4;16/04/2018;0.03;4.0;0.0;0
149;147248;Roma Casa Rome House B&B Short Let;711817;Fabiano;I Centro Storico;Entire home/apt;69;2.0;270;27/08/2021;2.57;2.0;338.0;9
150;147381;Charming Studio in Trevi Fountain;712288;Jimmy;I Centro Storico;Entire home/apt;64;3.0;192;03/10/2021;1.53;13.0;324.0;5
151;147670;Feliz in Roma B&B - Junior Suite;628404;Federico;I Centro Storico;Private room;160;2.0;2;21/06/2017;0.03;2.0;361.0;0
152;147933;Feliz in Roma B&B - Chic room;628404;Federico;I Centro Storico;Private room;110;2.0;4;23/05/2016;0.03;2.0;340.0;0
153;148158;Charming apartment near Trastevere;1249650;Perla;XII Monte Verde;Entire home/apt;90;3.0;8;11/12/2013;0.06;1.0;365.0;0
154;152614;Single Room with Private Bathroom;734278;Francesca;II Parioli/Nomentano;Private room;40;2.0;56;01/01/2020;0.48;2.0;335.0;0
155;153506;Sally's beautiful apt - Trastevere;1035589;Sally;XII Monte Verde;Entire home/apt;65;3.0;39;03/01/2020;0.31;2.0;336.0;0
156;153542;CORNER HOUSE ROME;677400;Ada;XIV Monte Mario;Entire home/apt;65;3.0;9;29/10/2020;0.16;1.0;336.0;0
158;155179;Renovated 1BR NAVONA-VATICAN;746256;Olivia;I Centro Storico;Entire home/apt;84;3.0;144;28/10/2021;1.18;4.0;282.0;9
159;156217;Your Home in Rome's Trastevere;750850;Marisa;I Centro Storico;Private room;50;2.0;23;13/10/2019;0.22;1.0;0.0;0
160;156445;Charming Studio Navona / S.Peter;746256;Olivia;I Centro Storico;Entire home/apt;78;3.0;56;31/10/2021;0.49;4.0;323.0;3
161;156878;Rome City Center Trastevere up to 4;753785;Marzia;I Centro Storico;Entire home/apt;101;2.0;145;03/11/2021;1.24;1.0;11.0;6
162;156888;beautiful house;753805;Matteo;VII San Giovanni/Cinecittà;Private room;46;1.0;10;29/10/2017;0.11;1.0;365.0;0
163;158722;FRANCESCAAPARTMENT NAVONA SQUARE - Wifi;761827;Dorotea;I Centro Storico;Entire home/apt;181;3.0;39;03/10/2021;0.35;20.0;235.0;1
164;158761;DELIGHTFUL & COZY FLAT Trastevere;761827;Dorotea;I Centro Storico;Entire home/apt;75;90.0;9;19/04/2017;0.09;20.0;320.0;0
165;160450;ROMA HOLIDAY SUITE - BLUE ROOM;768673;Fabio;XII Monte Verde;Private room;120;2.0;220;24/10/2021;1.75;3.0;362.0;7
166;161978;25 min to Center near Termini Station;773808;Rosanna;II Parioli/Nomentano;Private room;33;2.0;199;07/09/2021;2.56;5.0;0.0;1
167;162314;Colosseum cozy apartment;775832;Irene;I Centro Storico;Entire home/apt;69;3.0;2;30/09/2012;0.02;1.0;36.0;0
168;163008;Calpurnia House close Colosseum;778599;Roberto & Claudia;I Centro Storico;Entire home/apt;70;2.0;508;17/11/2021;4.05;4.0;347.0;11
169;163019;Single room in the centre of Rome;778645;Alice;I Centro Storico;Private room;40;1.0;160;02/11/2021;1.38;1.0;364.0;5
170;163107;Charming 1BR/1BA by the Colosseum;21081;Laura;I Centro Storico;Entire home/apt;80;3.0;9;09/08/2021;0.10;2.0;356.0;1
171;163111;Centrally located spacious 1BR/1BA;21081;Laura;I Centro Storico;Entire home/apt;80;3.0;6;30/09/2019;0.05;2.0;360.0;0
172;163272;Charming apt in the heart of Rome;724158;Chiara;I Centro Storico;Entire home/apt;100;2.0;42;09/05/2019;0.37;1.0;179.0;0
173;166454;Artevere;793303;Domenico;I Centro Storico;Entire home/apt;55;1.0;355;21/11/2021;3.03;2.0;336.0;9
174;166894;Artevere !;793303;Domenico;I Centro Storico;Entire home/apt;55;1.0;473;28/11/2021;3.92;2.0;338.0;10
176;172334;Splendid Two Bedroom Apartment in Rome;822291;Adriana;VI Roma delle Torri;Entire home/apt;79;1.0;1;13/09/2021;0.34;1.0;365.0;1
177;175380;Spacious&nice for families/friends near Colosseum;838411;Giuseppe;I Centro Storico;Entire home/apt;75;3.0;209;29/11/2021;1.71;1.0;283.0;4
178;175707;TESTACCIO's last floor small apartment great view!;839710;Sandra;I Centro Storico;Entire home/apt;70;2.0;1;30/04/2019;0.03;1.0;257.0;0
179;181189;^_^ LoVeLy DoUbLe RoOm ^_^;868477;Luigi;I Centro Storico;Hotel room;443;2.0;141;28/08/2021;1.14;8.0;123.0;5
180;181747;ROMA CENTRO STORICO LUXURY;871063;Lorenzo;I Centro Storico;Entire home/apt;233;3.0;34;11/10/2015;0.29;2.0;333.0;0
181;182862;Renovated Studio zen in the heart Campo dei fiori;248295;Tom;I Centro Storico;Entire home/apt;90;3.0;171;16/11/2021;1.37;11.0;359.0;20
182;183969;Anita Arte Roma B&B;882519;Marco;I Centro Storico;Private room;50;1.0;578;31/10/2021;5.01;1.0;301.0;10
183;186436;Huge Smartworking Room w/ roof terrace by Sapienza;114323;Ném;II Parioli/Nomentano;Private room;25;4.0;44;07/10/2021;0.55;2.0;191.0;16
184;186484;Panoramic studio in Rome;892435;Lia;I Centro Storico;Entire home/apt;92;2.0;251;12/10/2021;2.03;1.0;343.0;18
185;188993;Villa Karola  - Ulivo;911205;Elke;X Ostia/Acilia;Entire home/apt;36;7.0;2;16/12/2016;0.03;2.0;15.0;0
186;191877;Campo dei Fiori Attic, Regola;928621;Luca;I Centro Storico;Entire home/apt;145;30.0;69;30/11/2021;0.58;1.0;68.0;1
187;192711;La Palmetta - Appia Antica Archaeological Park;933729;Claudia;VII San Giovanni/Cinecittà;Entire home/apt;30;3.0;38;28/07/2020;0.31;2.0;337.0;0
188;192859;Coronari Apartment 1 with terrace;934560;Francesco;I Centro Storico;Entire home/apt;120;2.0;85;04/11/2021;0.77;2.0;220.0;9
189;192908;Coronari Apartment 2 with city view;934560;Francesco;I Centro Storico;Entire home/apt;75;2.0;54;05/12/2021;0.48;2.0;329.0;5
190;194786;Laura's Brother terrace in Rome;615820;Mirko;VII San Giovanni/Cinecittà;Entire home/apt;130;2.0;261;04/11/2019;2.15;10.0;126.0;0
191;195032;Gala B&B Rome Oro Suite  max 2 Pax;947717;Maria;VII San Giovanni/Cinecittà;Private room;40;2.0;7;23/10/2021;0.06;2.0;348.0;1
