num_rows;id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
2299;3156599;rome lovely apartment delizioso app;12959919;Cristina;XI Arvalia/Portuense;Entire home/apt;50;3.0;141;24/08/2019;1.56;10.0;311.0;0
2300;3156876;LOVELY HOLIDA HOUSE NEAR ROME'S CENTER FOR ERASMUS;12959919;Cristina;XI Arvalia/Portuense;Entire home/apt;60;3.0;93;18/08/2019;1.04;10.0;311.0;0
2301;3160365;☆ Le Campane di Bramante;16034833;Chiostro Del Bramante;I Centro Storico;Entire home/apt;207;2.0;19;09/10/2021;0.43;3.0;275.0;1
2302;3160472;Charming Loft, in Vatican Area;8750712;Flaminia;I Centro Storico;Entire home/apt;100;3.0;169;29/10/2019;1.90;3.0;275.0;0
2304;3165424;CASA LAVIULIA in the historic center.;16055840;Federico;I Centro Storico;Entire home/apt;65;3.0;106;14/10/2021;1.18;2.0;231.0;13
2305;3169159;Sunny PRIVATE ROOM closeTrastevere;7371629;Mirta;XII Monte Verde;Private room;70;5.0;44;03/06/2018;0.48;4.0;0.0;0
2307;3172693;Rome, center of Garbatella Storica;16047248;Riccardo;VIII Appia Antica;Entire home/apt;85;2.0;4;26/06/2018;0.06;1.0;0.0;0
2308;3172822;Momo's house;16090346;Monica;II Parioli/Nomentano;Entire home/apt;120;1.0;22;30/09/2021;0.24;1.0;342.0;1
2309;3173270;PRIVATE GUEST SUITE IN FAMILY HOME!;13922551;Sophia;VII San Giovanni/Cinecittà;Private room;175;2.0;47;01/02/2017;0.51;1.0;0.0;0
2310;3173764;casa vacanze Yuli;16094485;Uliana;I Centro Storico;Entire home/apt;100;3.0;1;16/07/2016;0.02;1.0;312.0;0
2311;3177828;A Modern Flat near Spanish Steps;2023070;Monica;I Centro Storico;Entire home/apt;68;2.0;61;31/12/2019;0.69;18.0;315.0;0
2312;3178625;INTERNO 15 Romantic House close to VATICAN Area;16118902;Chiara;XIII Aurelia;Entire home/apt;400;2.0;97;26/01/2020;1.07;1.0;37.0;0
2313;3178636;La Torretta - Chiostro del Bramante;16034833;Chiostro Del Bramante;I Centro Storico;Entire home/apt;438;2.0;37;03/10/2021;0.84;3.0;303.0;9
2314;3179444;☆ Luxury Loft in Museum Navona Square;16034833;Chiostro Del Bramante;I Centro Storico;Entire home/apt;246;2.0;16;12/10/2019;0.33;3.0;287.0;0
2316;3182923;Little sleep in Campo de Fiori,Roma;1203371;Marco;I Centro Storico;Private room;75;1.0;22;29/07/2020;0.25;2.0;330.0;0
2317;3191667;casa con vista piazza del popolo;16177973;Paola;II Parioli/Nomentano;Entire home/apt;85;3.0;134;06/11/2019;1.67;1.0;136.0;0
2318;3194616;apartment for family;16193114;Gabriele;XV Cassia/Flaminia;Entire home/apt;51;3.0;8;04/11/2021;0.10;1.0;161.0;4
2319;3195421;Wonderfull double room ensuite airconditioned;4495963;Alessandro;IV Tiburtina;Private room;65;1.0;6;14/10/2018;0.07;18.0;365.0;0
2321;3211212;БЕСПЛАТНЫЙ ГИД КОЛЛИЗЕЙ Ватикан.;13945958;Inna;XIII Aurelia;Private room;35;3.0;36;29/07/2019;0.40;2.0;275.0;0
2322;3213059;A 2 Levels Flat near Spanish Steps;2023070;Monica;I Centro Storico;Entire home/apt;75;2.0;45;07/11/2021;0.57;18.0;345.0;2
2323;3216584;Caesarina Roma Luxury apartment;9465946;Lucia;I Centro Storico;Entire home/apt;109;2.0;30;24/11/2021;0.37;1.0;355.0;6
2325;3233411;Giulietta al Colosseo Apartment;16364744;Giulia;I Centro Storico;Entire home/apt;294;1.0;2;16/07/2015;0.02;3.0;96.0;0
2326;3234696;Luxory  Appartament inVatican City Cristina's Home;16116685;Cristina;I Centro Storico;Entire home/apt;160;2.0;51;21/11/2021;0.62;1.0;178.0;3
2328;3235283;Luce e design Garbatella storica;5525450;Giuseppe;VIII Appia Antica;Entire home/apt;74;1.0;64;30/08/2021;0.74;2.0;342.0;10
