id;name;host_id;zone_id;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;availability_365;number_of_reviews_ltm
48458048;Bruno Domus Antiqua /  Trastevere, intero Apt 7pax;390997288;1;Entire home/apt;174;1.0;1;11/07/2021;0.2;0.0;1
48460377;BDC - The Right Loft in Trastevere;386205844;1;Entire home/apt;110;1.0;2;14/11/2021;0.48;355.0;2
48466811;Tere Roma House appartamento Lido di Ostia Centro;391144139;14;Entire home/apt;43;2.0;12;06/11/2021;2.26;169.0;12
48476248;Comfort e vera cultura romana in quartiere cult;128341287;9;Entire home/apt;69;2.0;10;07/11/2021;1.23;319.0;10
48482428;Osp.Gemelli,Uni.Cattolica,Columbus,camera singola;391263046;11;Private room;14;30.0;1;05/10/2021;0.45;36.0;1
48497853;casa san peter;10924594;11;Entire home/apt;60;1.0;1;24/10/2021;0.64;357.0;1
48520952;101. SMART Room;240474894;1;Private room;42;1.0;22;21/11/2021;2.62;334.0;22
48534189;Alloggio brancaleone;133704767;9;Entire home/apt;50;1.0;11;12/08/2021;1.61;0.0;11
48534319;Trastevere Cozy and Comfortable Flat;96122546;1;Entire home/apt;98;2.0;4;25/10/2021;0.73;14.0;4
48546830;DREAM  HOUSE;51807450;3;Entire home/apt;75;2.0;13;24/10/2021;1.76;103.0;13
48557936;Studio S.Maria in Monticelli;3059570;1;Entire home/apt;50;6.0;4;31/10/2021;0.85;224.0;4
48565784;LauraLuxuryHome Cavour Fori Imperiali;382193859;1;Entire home/apt;106;1.0;2;07/11/2021;0.39;160.0;2
48596528;Cosy Up Room at The Hoxton Rome;392055822;3;Private room;203;1.0;1;19/09/2021;0.37;325.0;1
48611545;Appartamento SOLE (1 camera);207239939;5;Entire home/apt;80;2.0;6;01/12/2021;0.79;5.0;6
48618429;*****RENOVATED APARTMENT NEXT COLOSSEUM*****;392209109;1;Entire home/apt;81;3.0;24;05/12/2021;4.71;256.0;24
48618874;La Torre Suite Trastevere charming private House;43064793;1;Entire home/apt;69;2.0;16;29/11/2021;3.5;232.0;16
48622573;Bellissime camere indipendenti vicine università 1;392236821;3;Entire home/apt;46;7.0;4;29/06/2021;0.45;185.0;4
48638574;Bellissime camere indipendenti vicine università 2;392236821;3;Entire home/apt;45;7.0;3;11/08/2021;0.53;149.0;3
48649774;☆ Residenza Fontanella Barberini - 1;389328940;1;Entire home/apt;149;3.0;17;14/11/2021;2.16;302.0;17
48650787;Varental | Camilluccia | Roma nord;142577632;15;Entire home/apt;55;29.0;1;25/09/2021;0.39;342.0;1
48650925;Your chill and calm Studio Flat in Rome!;389610040;6;Entire home/apt;32;1.0;5;25/08/2021;0.66;0.0;5
48651588;Chill and bright private room near the center 18mq;389610040;6;Private room;21;1.0;17;06/09/2021;2.1;0.0;17
48655885;Domus Sistina Appartamento;18105350;1;Entire home/apt;43;5.0;1;22/05/2021;0.15;0.0;1
48668155;Aurelio S. Pietro accogliente ad un passo da tutto;392625526;11;Entire home/apt;55;2.0;5;14/11/2021;2.46;161.0;5
48668408;Navona Square Apartment;15992097;1;Entire home/apt;69;2.0;19;29/11/2021;3.05;91.0;19
48675000;WelcHome Vatican;392681540;1;Entire home/apt;115;3.0;3;16/06/2021;0.38;223.0;3
48686629;(502) Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;12;Entire home/apt;93;1.0;7;06/10/2021;1.74;257.0;7
48686849;(505) Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;12;Entire home/apt;113;1.0;2;14/11/2021;0.98;255.0;2
48688280;mini bed;106823995;1;Shared room;12;1.0;3;28/04/2021;0.36;0.0;3
48688977;(506)Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;11;Entire home/apt;113;1.0;1;20/09/2021;0.37;243.0;1
48689033;(507)Elegant apartment located in the green of a residential area;386966517;12;Entire home/apt;93;1.0;3;30/10/2021;1.91;258.0;3
48689089;(508) Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;12;Entire home/apt;113;1.0;2;06/12/2021;2.0;262.0;2
48689119;(509)Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;12;Entire home/apt;93;1.0;2;18/10/2021;0.5;255.0;2
48689145;(510) Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;11;Entire home/apt;113;1.0;3;24/10/2021;1.48;260.0;3
48689161;(511) Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;12;Entire home/apt;93;1.0;3;19/10/2021;0.66;255.0;3
48689200;(512) Elegant apartment located in the green of a residential area just a few minutes from the centre of Rome;386966517;12;Entire home/apt;93;1.0;1;05/10/2021;0.45;254.0;1
48698807;AMAZING APARTMENT a few steps from TERMINI STATION;6611435;1;Entire home/apt;130;2.0;4;14/11/2021;2.55;224.0;4
48707013;COLONNA60 colorful apt with terrace Rome Vatican;507864;1;Entire home/apt;80;3.0;14;20/11/2021;3.21;234.0;14
48707904;Cosy Room w/ Office in the heart of “Garden City”;159985570;2;Private room;40;1.0;5;25/11/2021;0.61;174.0;5
48708317;Roma Villa di Lusso con Piscina;17468797;12;Entire home/apt;220;5.0;3;21/08/2021;0.61;29.0;3
48709998;Artist Studio Piazza Navona;262993810;1;Entire home/apt;40;5.0;22;26/11/2021;3.4;313.0;22
48710959;Boutique Rome Apartment;55155461;3;Entire home/apt;131;29.0;3;20/09/2021;0.67;0.0;3
48713910;Bed and Best - Doppia standard;5128661;1;Private room;84;1.0;1;19/08/2021;0.27;359.0;1
48715129;Sonder | Trastevere | Spacious Lofted One-Bedroom Apartment;224869116;1;Entire home/apt;197;2.0;1;11/10/2021;0.5;124.0;1
48726339;Family room to enjoy the roman atmosphere;392794029;1;Private room;128;1.0;1;14/10/2021;0.53;365.0;1
48730468;*****RENOVATED APARTMENT NEXT COLOSSEUM*****;392209109;1;Entire home/apt;91;3.0;25;22/11/2021;4.01;319.0;25
48731119;TAKE ME ROME | COLOSSEO TERRACE APARTMENT;393120129;1;Entire home/apt;243;3.0;3;06/11/2021;0.64;178.0;3
